tasting_category_fine,ethyl_acetate,H2S,isobutyl_acetate,pH,protein.g.L.,bitterness,kcalperc,X3.methylbutanal,ethyl.butyrate,ethyl.lactate,X3.methyl.2.hexanol,X2.pentyl.furan,X2.3.dihydro.farnesol,limonene,eucalyptol,cis.linalool.oxide,trans.dihydro.beta.terpineol,cis.beta.terpineol,isoborneol,cumin.aldehyde,eugenol,E.caryophyllene,linalool.isovalerate,Z.nerolidol,alpha.eudesmol,tau.muurolol,ambroxide,manool,styrene,overall
14,1.235087237,-1.586071886,-1.680373516,0.6005627174608297,0.8262234879555719,1.0803022814752854,1.647166307,2.482393672532004,0.1160385614559956,-3.7631895736227716,7.95337259217954,1.8581131824109827,9.015540129981623,-0.16211353485066932,2.849533469256577,0.03826023364050446,1.7282922112682424,4.128895986974356,6.070652998872429,3.468827422027397,0.41076619983055185,-1.9801021700676937,3.9653664256004317,-0.08588070404513898,5.185924480564865,4.978375962876826,7.054183866426554,5.790852761007634,0.37468780495071063,-0.47069113572427784
8,0.892526177,0.62565656,-3.265600257,0.6012231060965165,0.9127073627490893,0.7657247908310147,1.615681926,-11.885321338744347,0.7212760932095358,-2.5323682115989357,8.041908299466304,5.919136455731082,5.560711751430272,3.795049475285356,-1.3372317357033874,2.9236722566445073,4.477679110203111,0.8291222900463786,6.0843689793356,5.715585233693838,-0.15029026420953537,-1.3299321304426668,4.044855252269101,0.5415559934179103,4.004568718279063,6.013428759823146,8.714639924510971,2.9207823150503156,-0.2314860356076075,0.6162553716600916
11,1.230061588,0.625861147,-2.49825627,0.6291940553246514,0.9080732924121869,0.5127504034803215,0.955286362,-0.27989388381699754,0.23448618027606694,3.2470202269544686,7.688935361944341,-1.1927853873799723,3.481476356906281,-0.3549410141584364,1.644839179450159,2.4054875956147557,1.1833230383611122,3.928383037235146,5.807360053474777,3.8176070634866908,-0.1458967651154839,2.266114495641091,6.76240982749865,0.4176620163140134,4.978859182319335,2.744176859775158,7.269142912301222,5.010158164495895,0.4434327712442715,-0.5591136759926596
13,1.142983086,0.523234504,-3.265600257,0.5894057481845744,1.0614460946964575,0.7027615931660658,1.536100045,0.24108200581683537,0.06009364169903868,-2.0215735403274007,7.735064126492306,-0.6475786444743763,3.097076870420703,-0.1803153263852037,2.3553137811723066,-1.9180397390006596,-0.33493287186285814,2.536217745804496,5.077202781328113,4.1464929916859905,-0.22888102525777076,2.8614531858009467,1.5684657451002932,0.9214519530656495,0.3017706052209008,3.4216280442674716,5.55184919983352,4.033631259808204,0.4530520202258464,-0.6627905060605352
6,0.837320709,0.516008216,-3.265600257,0.6239706271065564,0.8982463252903142,0.6541334819580407,1.622890798,-3.510604120620796,0.12461462761626502,-2.600528406743371,7.830715909073004,3.3979214791870995,4.472636901237812,2.1087880432425714,4.650936320811967,6.824320049253766,6.235800001107908,-4.495613856864254,5.48011905384799,5.146921731563021,0.6076064783141225,1.4298529981039954,2.651433875153259,0.03250470508010071,0.33763367670439814,2.9356697392895206,3.352728473855235,5.31406968606613,0.4698175231418501,0.7467821699355661
10,1.052083809,0.516008216,-1.70038376,0.6085314644349316,0.5608383229314033,1.34855972217836,1.648227214,-9.78063823440594,0.03829056881599516,-0.8839481919938172,7.601777250669602,1.6136735730997858,3.025490171563532,0.9289456822062951,1.6281382064867558,6.002296756837843,2.290237993733249,-1.5621402248619414,5.443956664791377,2.7170636065111324,0.33508741328815755,-2.6785673997042365,2.630419192888732,0.46314522714797524,-1.4880631912119324,0.47897754112152535,3.069995053844159,6.86741312273229,0.646692820616054,1.101235012899727
6,1.210230207,0.30024321,-1.737905035,0.6180973989548223,1.169628839585711,0.7381566723674584,1.605681469,15.31506400589054,0.21557273581065178,-1.4756679901193008,8.219424053669435,-1.6540800384293313,7.02403077976132,-3.2771849222087757,1.793810235177625,2.0284950533170134,3.864232281332577,-0.7363091536976859,5.931300996725046,2.564014731475145,0.36570032800212265,2.427548108561686,1.641792589451073,-0.04568158553566458,4.114219255350395,6.663387311504419,7.7318970969539915,6.162947976130946,0.38385263504642825,-0.9882840581960627
2,1.165629024,0.685432698,-1.607654845,0.6267447973183018,1.218700720031553,0.9675680947310162,1.605681469,5.9201740555843605,0.13310322456770016,-2.323565786424777,7.7920029862517985,3.3320089584721493,4.383028721975575,-2.170932748762147,-3.9349420985225256,1.6697899103388458,2.0961577849139506,3.266388591574338,5.4860846666628404,4.274155512837879,0.22042735083952067,3.321962645718504,2.0415531461290106,-0.010469803624350585,8.60787758833348,3.773319880567494,5.401801674681209,6.38243577073476,-0.34723589802602406,0.13901465962521073
11,0.786459666,0.657188799,-1.737905035,0.6302570854679326,0.7805257327674218,0.9665196373387326,1.622469446,1.126065467736629,0.27714932275207954,1.3625606266713608,7.629854316441203,8.980871744083968,5.157362962545152,3.7283774306579294,-0.9394259619608756,3.6629393204460454,3.8751210194464214,-2.0355188416202066,5.6099190510406665,6.237932677797792,0.31598923496228937,0.1222888794687152,2.096352584002324,0.31287956602176065,2.0328268065063644,6.8858346673939135,4.30257128236577,5.586913042406356,0.7562805990922735,-0.15723016675091483
11,1.165629024,0.596483285,-3.265600257,0.6230814618865014,0.6057949637618416,0.6268569927435448,1.601438125,-4.134458240768871,-0.1580676512667318,2.574597257596828,7.8999723309769125,-0.09576904669365716,6.099559492719648,5.982821122830604,3.4189326226368495,3.29488415761868,5.967330596640567,5.783561982848021,4.873451653082755,5.011731712321736,0.10438612000381593,3.3246926154970122,0.1895563018614781,0.2959070128768737,2.6229076479349756,5.808828656021039,5.119817647239743,5.557524420661029,0.3272929913037542,0.37988844787402976
9,0.950473901,0.662232584,-3.265600257,0.6162027951814423,0.912894996635234,1.2555389529163286,1.58759727,5.25272782584745,0.34409735471579805,-0.014656469486590273,7.530523734008943,1.8966747891127185,6.1064247954053865,4.6760250124595455,-1.1048506842710262,-0.24633757798752054,2.7829209649881976,6.981994138095109,4.857696148717139,2.914050430356923,0.062182268816063826,5.192447554901267,2.1042620452781926,0.3846663067759725,3.2393838140628346,4.462712582779137,1.940114240653541,6.635886688301172,0.3697794630039889,0.1964133317009684
